City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bubaque,GW,80.58,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
2,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
7,Jatai,BR,78.62,broken clouds,-17.8814,-51.7144,Hotel Califórnia
10,Dingle,PH,76.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
15,Torbay,CA,70.88,overcast clouds,47.6666,-52.7314,Gallows Cove
19,Narasannapeta,IN,77.58,overcast clouds,18.4167,84.05,AVK events and catering
20,Vanimo,PG,76.24,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
31,Sioux Lookout,CA,83.21,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
35,Arraial Do Cabo,BR,72.14,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
36,Luwuk,ID,74.5,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
40,Kapaa,US,80.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
42,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
43,Suez,EG,75.61,clear sky,29.9737,32.5263,Green House
46,Ribeira Grande,PT,70.79,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
55,Katangi,IN,75.42,overcast clouds,23.45,79.7833,कपिल
58,Moerai,PF,71.46,few clouds,-22.4333,-151.3333,Le Manotel
60,Miraflores,MX,71.02,overcast clouds,19.2167,-98.8083,Hotel Mansión
61,Vaini,TO,76.19,clear sky,-21.2,-175.2,Keleti Beach Resort
64,Bethel,US,85.55,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
66,Hithadhoo,MV,83.39,overcast clouds,-0.6,73.0833,Scoop Guest House
71,Jalu,LY,79.68,clear sky,29.0331,21.5482,صاحبة الفخامة
73,Pokhara,NP,71.28,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
76,Monte Santo,BR,71.22,clear sky,-10.4378,-39.3328,Pousada Pingo D'Água
78,Jamestown,US,80.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
79,Joaima,BR,71.15,scattered clouds,-16.6542,-41.0306,Pousada LAZO
80,Caravelas,BR,71.01,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
82,Kavieng,PG,81.48,broken clouds,-2.5744,150.7967,Nusa Island Retreat
83,Pucallpa,PE,89.26,overcast clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
84,Butaritari,KI,81.54,moderate rain,3.0707,172.7902,Isles Sunset Lodge
85,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
90,Consolacion Del Sur,CU,84.25,overcast clouds,22.5047,-83.5136,Cuarto de alquiler
92,Faanui,PF,77.83,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Port Blair,IN,80.17,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
95,Thompson,CA,85.93,overcast clouds,55.7435,-97.8558,Burntwood Hotel
97,Yining,CN,78.08,overcast clouds,29.0361,114.5636,Xiushui Hotel
99,Murgab,TM,82.89,clear sky,37.4966,61.9714,Wepa Nurlyýew
100,Tarauaca,BR,84.13,overcast clouds,-8.1614,-70.7656,Flat Temporada
101,Chandbali,IN,82.17,scattered clouds,20.7833,86.7667,Sabitri Bhavan
108,Peniche,PT,70.09,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
109,Gizo,SB,81.55,moderate rain,-8.103,156.8419,Imagination Island
112,Atuona,PF,76.69,clear sky,-9.8,-139.0333,Villa Enata
116,Keti Bandar,PK,82.2,moderate rain,24.1447,67.4497,Haji laloo memon house
117,Nantucket,US,78.01,overcast clouds,41.2835,-70.0995,Jared Coffin House
119,Jutiapa,GT,88.88,overcast clouds,14.2833,-89.9,Hotel Ordoñez
120,Talagang,PK,84.15,clear sky,32.9297,72.4158,Sajid Iqbal Manzil
123,Isangel,VU,72.14,overcast clouds,-19.55,169.2667,Tanna Lodge
124,Lorengau,PG,80.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
126,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN
133,Faya,SA,70.32,light rain,18.3851,42.4509,املاك خالد الشعشوع
140,Tura,IN,75.31,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
143,Guerrero Negro,MX,77.07,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
147,Padang,ID,77.49,overcast clouds,-0.9492,100.3543,Mercure Padang
154,Lamu,KE,73.62,overcast clouds,-2.2717,40.902,Lamu House
158,Lewiston,US,85.05,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
160,Vila Franca Do Campo,PT,72.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
161,Beaufort,MY,75.15,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
162,Galdar,ES,72.36,scattered clouds,28.147,-15.6502,Hostel Guide
163,Pacific Grove,US,80.38,scattered clouds,36.6177,-121.9166,Lovers Point Inn
166,Stabat,ID,73.6,moderate rain,3.761,98.4513,Link VII damai
168,Samarai,PG,76.41,overcast clouds,-10.6167,150.6667,Nuli Sapi
170,Horta,PT,70.03,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
171,Maniwaki,CA,78.69,broken clouds,46.3834,-75.96600000000001,Centre Chateau Logue
172,Tabas,IR,85.3,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
173,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
174,Odweyne,SO,71.51,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
176,Mana,GF,80.26,broken clouds,5.6592,-53.7767,LE SAMANA
178,Ferme-Neuve,CA,76.89,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
179,Abha,SA,70.05,scattered clouds,18.2164,42.5053,Abha Hotel
180,Siva,EG,81.99,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
182,Tukrah,LY,76.51,clear sky,32.5341,20.5791,Lagrota restaurant
183,Bazpur,IN,87.55,scattered clouds,29.15,79.1167,Hotel castle park bazpur
185,Tonantins,BR,81.97,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
187,Gushikawa,JP,81.99,few clouds,26.3544,127.8686,Kirari Guest House
189,La Rioja,ES,78.58,clear sky,42.25,-2.5,Casa Concejos
191,Hamilton,US,87.94,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
193,Westport,US,85.71,broken clouds,41.1415,-73.3579,The Westport Inn
196,Yatou,CN,72.32,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
198,Rafraf,TN,73.71,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
201,Sakakah,SA,88.38,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
204,Aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
207,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
210,Kieta,PG,79.23,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
211,Tshikapa,CD,81.59,broken clouds,-6.4167,20.8,Tatem beach
213,Alofi,NU,77.68,broken clouds,-19.0595,-169.9187,Taloa Heights
215,Esterhazy,CA,80.85,clear sky,50.65,-102.0843,Canalta Hotel Esterhazy
216,Beira,MZ,71.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
220,Baie-Saint-Paul,CA,75.81,broken clouds,47.4411,-70.4986,Hôtel Baie-Saint-Paul
223,Kilindoni,TZ,76.51,overcast clouds,-7.9139,39.6668,Bustani B&B
224,Cedar City,US,86.4,broken clouds,37.6775,-113.0619,Hampton Inn Cedar City
225,Mangan,IN,75.33,clear sky,27.5167,88.5333,Hotel Mout View
226,Labuhan,ID,76.96,broken clouds,-6.8844,112.2051,DoubleFAG
228,Lakatoro,VU,77.65,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
230,San Cristobal,VE,78.62,scattered clouds,7.7669,-72.225,Pirineos
231,Traverse City,US,73.83,overcast clouds,44.7631,-85.6206,Bayshore Resort
235,Zhezkazgan,KZ,81.73,clear sky,47.8043,67.7144,Hotel Zumrat
238,Hasaki,JP,73.8,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
243,Milledgeville,US,89.74,clear sky,33.0801,-83.2321,Hampton Inn Milledgeville
245,Carutapera,BR,78.33,broken clouds,-1.195,-46.02,Lidera
246,Dhidhdhoo,MV,81.45,broken clouds,6.8833,73.1,Dhidhoo beach
249,Marsa Matruh,EG,76.84,clear sky,31.3525,27.2453,Beau Site
254,Sapu,CN,70.41,overcast clouds,36.174,107.7082,Qinghua Hotel
255,Longhua,CN,79.43,overcast clouds,23.6137,114.1919,Huadu Hotel
258,Touros,BR,75.51,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
259,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
263,Luganville,VU,77.63,broken clouds,-15.5333,167.1667,The Espiritu Hotel
265,Sakaiminato,JP,73.87,clear sky,35.55,133.2333,Italian pasley
266,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
267,Hobyo,SO,77.58,broken clouds,5.3505,48.5268,Iftin hotel hobyo
268,Conceicao Do Araguaia,BR,87.49,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
269,Kathu,TH,84.74,moderate rain,7.9178,98.3332,Novotel Phuket Resort
270,Half Moon Bay,US,86.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
272,Effingham,US,84.65,overcast clouds,32.3669,-81.3332,Countryside Village
273,Omboue,GA,71.13,clear sky,-1.5746,9.2618,Hotel Olako
280,Kavaratti,IN,81.32,broken clouds,10.5669,72.642,Green leaf
283,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
285,Mitsamiouli,KM,77.05,clear sky,-11.3847,43.2844,Foyer ADM
286,La Ronge,CA,75.78,broken clouds,55.1001,-105.2842,Northland Motor Hotel
287,West Lafayette,US,73.22,light rain,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
290,Ransang,PH,78.57,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
293,Souillac,MU,70.27,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
