,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.1333,167.6833,34.93,90,44,5.77,scattered clouds
1,Bubaque,GW,11.2833,-15.8333,80.58,80,100,14.12,overcast clouds
2,Kahului,US,20.8947,-156.47,84.97,84,16,10.0,few clouds
3,Cap Malheureux,MU,-19.9842,57.6142,68.47,84,84,5.01,light rain
4,Busselton,AU,-33.65,115.3333,58.59,64,100,3.04,overcast clouds
5,Hilo,US,19.7297,-155.09,90.28,86,45,4.0,scattered clouds
6,Marzuq,YE,14.4,46.4667,79.23,52,100,6.87,overcast clouds
7,Jatai,BR,-17.8814,-51.7144,78.62,33,84,4.52,broken clouds
8,Vila,PT,42.0304,-8.1588,69.69,59,55,0.78,broken clouds
9,Bredasdorp,ZA,-34.5322,20.0403,51.53,94,100,3.47,overcast clouds
10,Dingle,PH,10.9995,122.6711,76.33,91,97,0.63,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,61.38,84,100,4.0,fog
12,New Norfolk,AU,-42.7826,147.0587,45.91,82,100,1.01,overcast clouds
13,Albany,US,42.6001,-73.9662,86.58,36,23,3.47,few clouds
14,Rikitea,PF,-23.1203,-134.9692,68.04,79,100,10.71,light rain
15,Torbay,CA,47.6666,-52.7314,70.88,88,100,1.01,overcast clouds
16,Aasiaat,GL,68.7098,-52.8699,40.51,84,1,12.5,clear sky
17,Tasiilaq,GL,65.6145,-37.6368,48.36,75,100,14.88,overcast clouds
18,Cherskiy,RU,68.75,161.3,56.77,35,60,3.89,broken clouds
19,Narasannapeta,IN,18.4167,84.05,77.58,89,100,6.22,overcast clouds
20,Vanimo,PG,-2.6741,141.3028,76.24,89,98,4.81,overcast clouds
21,Barrow,US,71.2906,-156.7887,39.22,81,100,11.5,overcast clouds
22,Dutlwe,BW,-23.9833,23.9,55.11,31,0,9.89,clear sky
23,Bluff,NZ,-46.6,168.3333,35.8,75,76,16.69,broken clouds
24,Vardo,NO,70.3705,31.1107,57.18,82,0,2.3,clear sky
25,Provideniya,RU,64.3833,-173.3,47.8,68,79,1.32,broken clouds
26,Grand Gaube,MU,-20.0064,57.6608,68.38,84,88,5.01,light rain
27,Kodiak,US,57.79,-152.4072,58.84,83,100,5.68,overcast clouds
28,Sobolevo,RU,54.4299,31.8996,51.53,95,0,7.4,clear sky
29,Lasa,IT,46.6166,10.7002,64.65,85,8,5.28,clear sky
30,Saint-Francois,FR,46.4154,3.9054,69.24,60,0,3.44,clear sky
31,Sioux Lookout,CA,50.1001,-91.917,83.21,34,0,8.97,clear sky
32,Saint-Philippe,RE,-21.3585,55.7679,65.21,83,60,11.81,light rain
33,Luchegorsk,RU,46.4764,134.2569,61.61,90,99,7.61,overcast clouds
34,Port Elizabeth,ZA,-33.918,25.5701,54.1,81,64,10.09,broken clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,72.14,82,46,28.66,scattered clouds
36,Luwuk,ID,-0.9516,122.7875,74.5,91,100,4.12,overcast clouds
37,Esperance,AU,-33.8667,121.9,53.44,78,100,12.77,overcast clouds
38,Mackenzie,CA,55.2999,-123.1698,62.82,82,75,6.91,broken clouds
39,Atherton,GB,53.5237,-2.4935,61.29,82,7,1.99,clear sky
40,Kapaa,US,22.0752,-159.319,80.47,74,71,5.99,broken clouds
41,Acapulco,MX,16.8634,-99.8901,87.62,62,75,10.36,broken clouds
42,Avarua,CK,-21.2078,-159.775,77.05,57,40,19.57,scattered clouds
43,Suez,EG,29.9737,32.5263,75.61,64,0,12.62,clear sky
44,Ushuaia,AR,-54.8,-68.3,27.7,91,29,10.25,scattered clouds
45,Cidreira,BR,-30.1811,-50.2056,62.31,97,99,10.42,overcast clouds
46,Ribeira Grande,PT,38.5167,-28.7,70.79,88,32,11.54,scattered clouds
47,Nikolskoye,RU,59.7035,30.7861,57.09,95,61,5.26,broken clouds
48,Nanortalik,GL,60.1432,-45.2371,43.02,88,33,9.19,scattered clouds
49,Punta Arenas,CL,-53.15,-70.9167,26.11,92,10,9.26,clear sky
50,Lata,PT,40.1629,-8.3327,67.35,75,25,2.55,scattered clouds
51,Severo-Kurilsk,RU,50.6789,156.125,54.84,93,70,9.86,broken clouds
52,Port Alfred,ZA,-33.5906,26.891,56.17,88,13,14.23,few clouds
53,Woodward,US,36.4337,-99.3904,106.83,24,0,10.36,clear sky
54,Tuktoyaktuk,CA,69.4541,-133.0374,39.51,74,54,8.97,broken clouds
55,Katangi,IN,23.45,79.7833,75.42,90,95,3.2,overcast clouds
56,Ilulissat,GL,69.2167,-51.1,59.02,41,20,16.11,few clouds
57,Cap-Aux-Meules,CA,47.3821,-61.8597,61.02,81,13,8.61,few clouds
58,Moerai,PF,-22.4333,-151.3333,71.46,62,19,24.52,few clouds
59,Noumea,NC,-22.2763,166.4572,69.01,99,51,11.88,broken clouds
60,Miraflores,MX,19.2167,-98.8083,71.02,76,100,2.75,overcast clouds
61,Vaini,TO,-21.2,-175.2,76.19,80,1,14.16,clear sky
62,Hermanus,ZA,-34.4187,19.2345,54.81,84,100,8.75,overcast clouds
63,Staryy Nadym,RU,65.6118,72.6842,57.42,57,0,6.78,clear sky
64,Bethel,US,41.3712,-73.414,85.55,45,75,5.75,broken clouds
65,Mar Del Plata,AR,-38.0023,-57.5575,51.82,95,100,8.05,drizzle
66,Hithadhoo,MV,-0.6,73.0833,83.39,74,97,16.15,overcast clouds
67,Mahebourg,MU,-20.4081,57.7,68.25,80,92,17.74,light rain
68,Namibe,AO,-15.1961,12.1522,65.68,94,30,3.58,scattered clouds
69,Pisco,PE,-13.7,-76.2167,64.02,81,40,7.2,scattered clouds
70,Chokurdakh,RU,70.6333,147.9167,51.24,74,49,18.28,scattered clouds
71,Jalu,LY,29.0331,21.5482,79.68,45,0,16.2,clear sky
72,Clyde River,CA,70.4692,-68.5914,54.59,45,79,17.27,broken clouds
73,Pokhara,NP,28.2333,83.9833,71.28,84,48,6.15,scattered clouds
74,Slobodskoy,RU,58.7322,50.1772,57.79,97,84,4.72,broken clouds
75,Timaru,NZ,-44.4,171.25,34.07,86,1,5.41,clear sky
76,Monte Santo,BR,-10.4378,-39.3328,71.22,63,2,7.25,clear sky
77,Codrington,AU,-38.2667,141.9667,49.86,61,100,19.04,light rain
78,Jamestown,US,42.097,-79.2353,80.02,42,0,10.36,clear sky
79,Joaima,BR,-16.6542,-41.0306,71.15,61,27,3.74,scattered clouds
80,Caravelas,BR,-17.7125,-39.2481,71.01,79,4,5.46,clear sky
81,Solenzo,BF,12.1833,-4.0833,79.25,76,92,8.66,overcast clouds
82,Kavieng,PG,-2.5744,150.7967,81.48,77,78,10.18,broken clouds
83,Pucallpa,PE,-8.3791,-74.5539,89.26,49,97,3.33,overcast clouds
84,Butaritari,KI,3.0707,172.7902,81.54,82,100,19.46,moderate rain
85,Komsomolskiy,UZ,40.4272,71.7189,79.52,19,0,1.77,clear sky
86,Vao,NC,-22.6667,167.4833,68.76,61,2,19.44,clear sky
87,Tiksi,RU,71.6872,128.8694,39.63,88,94,6.67,overcast clouds
88,Mataura,NZ,-46.1927,168.8643,35.47,96,91,3.74,overcast clouds
89,Yaan,NG,7.3833,8.5667,72.03,96,100,6.44,moderate rain
90,Consolacion Del Sur,CU,22.5047,-83.5136,84.25,61,99,3.96,overcast clouds
91,Dikson,RU,73.5069,80.5464,47.44,71,100,5.1,overcast clouds
92,Faanui,PF,-16.4833,-151.75,77.83,59,76,19.6,broken clouds
93,Port Blair,IN,11.6667,92.75,80.17,84,100,6.51,heavy intensity rain
94,Norman Wells,CA,65.282,-126.8329,61.47,48,95,4.52,overcast clouds
95,Thompson,CA,55.7435,-97.8558,85.93,23,100,10.94,overcast clouds
96,Hobart,AU,-42.8794,147.3294,47.23,85,75,9.22,moderate rain
97,Yining,CN,29.0361,114.5636,78.08,84,100,2.3,overcast clouds
98,Sorland,NO,67.667,12.6934,48.06,81,100,11.01,overcast clouds
99,Murgab,TM,37.4966,61.9714,82.89,14,0,9.78,clear sky
100,Tarauaca,BR,-8.1614,-70.7656,84.13,65,92,2.19,overcast clouds
101,Chandbali,IN,20.7833,86.7667,82.17,86,27,2.62,scattered clouds
102,Lincoln,US,40.8,-96.667,99.14,63,83,10.0,broken clouds
103,Chancay,PE,-11.5714,-77.2672,62.31,78,50,12.15,scattered clouds
104,Te Anau,NZ,-45.4167,167.7167,32.23,91,56,1.43,broken clouds
105,Mocuba,MZ,-16.8392,36.9856,59.2,91,1,4.03,clear sky
106,Mbouda,CM,5.6258,10.2552,62.26,97,98,4.47,overcast clouds
