City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Viedma,-40.8135,-62.9967,48.24,83,100,17.65,AR,2022-07-14 20:49:08
1,Butaritari,3.0707,172.7902,81.9,80,36,17.56,KI,2022-07-14 20:45:37
2,Yeppoon,-23.1333,150.7333,46.18,71,0,5.93,AU,2022-07-14 20:48:38
3,Fort Nelson,58.8053,-122.7002,71.19,37,75,8.05,CA,2022-07-14 20:53:42
4,Ushuaia,-54.8,-68.3,33.42,80,0,2.3,AR,2022-07-14 20:46:45
5,Faanui,-16.4833,-151.75,77.83,63,100,23.58,PF,2022-07-14 20:53:42
6,Hualmay,-11.0964,-77.6139,64.45,73,49,14.25,PE,2022-07-14 20:53:42
7,Cape Town,-33.9258,18.4232,59.38,86,10,4.61,ZA,2022-07-14 20:40:51
8,Saskylakh,71.9167,114.0833,41.86,84,100,5.61,RU,2022-07-14 20:45:38
9,Busselton,-33.65,115.3333,59.05,76,77,13.8,AU,2022-07-14 20:45:35
10,Punta Arenas,-53.15,-70.9167,35.62,93,75,2.3,CL,2022-07-14 20:52:30
11,Victoria,22.2855,114.1577,85.32,84,84,5.01,HK,2022-07-14 20:47:18
12,Mount Isa,-20.7333,139.5,46.17,53,10,9.22,AU,2022-07-14 20:53:43
13,Luanda,-8.8368,13.2343,69.8,88,20,6.91,AO,2022-07-14 20:42:10
14,Rikitea,-23.1203,-134.9692,67.77,77,100,8.39,PF,2022-07-14 20:41:52
15,Los Llanos De Aridane,28.6585,-17.9182,67.75,89,0,16.11,ES,2022-07-14 20:53:44
16,Cayenne,4.9333,-52.3333,83.08,1,75,3.0,GF,2022-07-14 20:52:42
17,Bingol,38.8847,40.4939,65.55,71,0,9.04,TR,2022-07-14 20:53:44
18,Belokurikha,51.9959,84.9896,52.52,65,94,5.21,RU,2022-07-14 20:53:44
19,Daru,-9.0763,143.2092,75.34,78,99,17.31,PG,2022-07-14 20:53:15
20,Georgetown,5.4112,100.3354,80.53,92,20,0.0,MY,2022-07-14 20:48:11
21,Vardo,70.3705,31.1107,53.58,94,100,2.3,NO,2022-07-14 20:53:45
22,Ponta Do Sol,32.6667,-17.1,74.01,74,28,6.87,PT,2022-07-14 20:48:08
